bookId,name,location,isbn,publisher,author,isBorrowed
35,Tage der Unschuld.,2F Section: 25,3442446937,Goldmann,Richard North Patterson,False
36,Lying Awake,3F Section: 15,0375406328,Alfred A. Knopf,Mark Salzman,False
37,To Kill a Mockingbird,1F Section: 6,0446310786,Little Brown &amp; Company,Harper Lee,False
38,Seabiscuit: An American Legend,3F Section: 20,0449005615,Ballantine Books,LAURA HILLENBRAND,False
39,Pigs in Heaven,2F Section: 8,0060168013,Harpercollins,Barbara Kingsolver,False
40,Miss Zukas and the Raven's Dance,3F Section: 7,038078243X,Avon,Jo Dereske,False
41,Pride and Prejudice,1F Section: 14,055321215X,Bantam,Jane Austen,False
42,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,3F Section: 14,067176537X,Fireside,Dolores Krieger,False
43,Downtown,3F Section: 1,0061099686,HarperTorch,Anne Rivers Siddons,False
44,Icebound,1F Section: 9,0553582909,Bantam Books,Dean R. Koontz,False
45,I'll Be Seeing You,2F Section: 3,0671888587,Pocket,Mary Higgins Clark,False
46,From the Corner of His Eye,3F Section: 11,0553582747,Bantam Books,Dean Koontz,False
47,Isle of Dogs,2F Section: 0,0425182908,Berkley Publishing Group,Patricia Cornwell,False
48,Purity in Death,2F Section: 2,042518630X,Berkley Publishing Group,J.D. Robb,False
49,This Year It Will Be Different: And Other Stories,2F Section: 20,0440223571,Dell,Maeve Binchy,False
50,Proxies,1F Section: 9,0812523873,Tor Books,Laura J. Mixon,False
51,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),3F Section: 27,0842342702,Tyndale House Publishers,Tim Lahaye,False
52,The Street Lawyer,1F Section: 12,0440225701,Dell,JOHN GRISHAM,False
53,Love Medicine and Miracles,1F Section: 17,0060914068,HarperCollins Publishers,M.D. Bernie S. Siegel,False
54,All the King's Men,1F Section: 8,0156047624,Harvest Books,Robert Penn Warren,False
55,Pacific Northwest,1F Section: 16,0245542957,Chambers Harrap Publishers Ltd,Hans Johannes Hoefer,False
56,A Soldier of the Great War,1F Section: 12,0380715899,Avon Books,Mark Helprin,False
57,Getting Well Again,2F Section: 10,0553280333,Bantam,O. Carol Simonton Md,False
58,Northwest Wines and Wineries,2F Section: 26,0961769947,Speed Graphics,Chuck Hill,False
59,An Atmosphere of Eternity: Stories of India,1F Section: 22,0964778319,Sunflower Press,David Iglehart,False
60,LONESOME DOVE,2F Section: 24,0671623249,Pocket,Larry McMurtry,True
61,Shabanu: Daughter of the Wind (Border Trilogy),1F Section: 17,0679810307,Laurel Leaf,SUZANNE FISHER STAPLES,False
62,Haveli (Laurel Leaf Books),3F Section: 7,0679865691,Laurel Leaf,SUZANNE FISHER STAPLES,False
63,Lieux dits,1F Section: 6,2070423204,Gallimard,Michel Tournier,False
64,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,3F Section: 23,0345260317,Ballantine Books,Carl Sagan,False
65,The yawning heights,2F Section: 15,0394743741,Random House,Aleksandr Zinoviev,False
66,Breathing Lessons,3F Section: 5,042511774X,Berkley Publishing Group,Anne Tyler,False
67,The Joy Luck Club,3F Section: 22,0804106304,Prentice Hall (K-12),Amy Tan,False
68,Heart of Darkness (Wordsworth Collection),1F Section: 11,1853262404,NTC/Contemporary Publishing Company,Joseph Conrad,False
69,The Angel Is Near,2F Section: 1,0312970242,St. Martin's Press,Deepak Chopra,False
70,Tess of the D'Urbervilles (Wordsworth Classics),3F Section: 4,1853260053,NTC/Contemporary Publishing Company,Thomas Hardy,False
71,The Adventures of Drew and Ellie: The Magical Dress,3F Section: 8,1414035004,1stBooks Library,Charles Noland,False
72,The Accidental Virgin,1F Section: 1,0060938412,Avon Trade,Valerie Frankel,False
73,The Tao of Pooh,1F Section: 22,0140067477,Penguin Books,Benjamin Hoff,False
74,Seabiscuit,2F Section: 2,0345465083,Ballantine Books,LAURA HILLENBRAND,False
75,The Prince,1F Section: 22,0451625889,Signet Book,Niccolo Machiavelli,False
76,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),2F Section: 11,1558531025,Thomas Nelson,H. Jackson Brown,False
77,Starship Troopers,2F Section: 29,0441783589,Ace Books,Robert A. Heinlein,False
78,The Ruby in the Smoke (Sally Lockhart Trilogy Book 1),2F Section: 29,0394895894,Laurel Leaf,PHILIP PULLMAN,False
79,Black Beauty (Illustrated Classics),1F Section: 18,1569871213,Landoll,Anna Sewell,False
80,Anil's Ghost,2F Section: 5,0375410538,Knopf,MICHAEL ONDAATJE,False
81,Prescription for Terror,2F Section: 19,0966986105,Andrew Scott Publishers,Sandra Levy Ceren,False
82,Modern Manners: An Etiquette Book for Rude People,2F Section: 16,087113375X,Atlantic Monthly Press,P.J. O'Rourke,False
83,Turning Thirty,2F Section: 28,0340767936,Hodder &amp; Stoughton General Division,Mike Gayle,False
84,Decipher,2F Section: 25,0743403843,Simon &amp; Schuster (Trade Division),Stel Pavlou,False
85,My First Cousin Once Removed: Money Madness and the Family of Robert Lowell,2F Section: 26,0060930365,Perennial,Sarah Payne Stuart,False
86,Standing Firm: A Vice-Presidential Memoir,1F Section: 20,0060177586,Harpercollins,Dan Quayle,False
87,Team Bush : Leadership Lessons from the Bush White House,2F Section: 22,0071416331,McGraw-Hill,Donald F. Kettl,False
88,The Right Man : The Surprise Presidency of George W. Bush,1F Section: 1,0375509038,Random House,DAVID FRUM,False
89,Daybreakers Louis Lamour Collection,1F Section: 18,0553062042,Bantam Doubleday Dell,Louis Lamour,False
90,The Catcher in the Rye,1F Section: 26,0316769487,Little Brown,J.D. Salinger,False
91,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),2F Section: 14,8445071408,Minotauro,J. R. R. Tolkien,True
92,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),3F Section: 5,8445071769,Minotauro,J. R. R. Tolkien,False
93,El Senor De Los Anillos: El Retorno Del Rey (Tolkien J. R. R. Lord of the Rings. 3.),3F Section: 12,8445071777,Distribooks,J. R. R. Tolkien,False
94,Midnight in the Garden of Good and Evil: A Savannah Story,3F Section: 26,0679429220,Random House,John Berendt,False
95,Pretend You Don't See Her,2F Section: 26,0671867156,Pocket,Mary Higgins Clark,False
96,Fast Women,1F Section: 18,0312252617,St. Martin's Press,Jennifer Crusie,False
97,Female Intelligence,3F Section: 12,0312261594,St. Martin's Press,Jane Heller,False
98,Pasquale's Nose: Idle Days in an Italian Town,1F Section: 8,0316748641,Back Bay Books,Michael Rips,False
99,The Gospel of Judas: A Novel,3F Section: 0,0316973742,Back Bay Books,Simon Mawer,False
100,Prize Stories 1987: The O'Henry Awards,2F Section: 10,0385235941,Doubleday Books,William Abrahams,False
101,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!,3F Section: 7,0446677450,Warner Books,Robert T. Kiyosaki,False
102,The Pillars of the Earth,1F Section: 29,0451166892,Signet Book,Ken Follett,False
103,McDonald's: Behind the Arches,2F Section: 27,0553347594,Bantam,John F. Love,False
104,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,1F Section: 11,0671621009,Fireside,Robert G. Allen,False
105,Corelli's Mandolin : A Novel,2F Section: 9,067976397X,Vintage,LOUIS DE BERNIERES,False
106,Love Miracles and Animal Healing : A heartwarming look at the spiritual bond between animals and humans,2F Section: 25,0684822733,Fireside,Pam Proctor,False
107,The Five People You Meet in Heaven,1F Section: 11,0786868716,Hyperion,Mitch Albom,False
108,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),1F Section: 29,8472238822,Tusquets,Irene Gonzalez Frei,False
109,Relics (Star Trek: The Next Generation),2F Section: 18,0671864769,Star Trek,Michael Jan Friedman,False
110,Bless The Beasts And Children : Bless The Beasts And Children,3F Section: 18,0671521519,Pocket,Glendon Swarthout,False
111,The Touch of Your Shadow the Whisper of Your Name (Babylon 5 Book 5),3F Section: 27,0440222303,Dell,Neal Barrett Jr.,False
112,Blood Oath,1F Section: 11,0312953453,St. Martin's Press,David Morrell,False
113,The Alibi,1F Section: 8,0446608653,Warner Books,Sandra Brown,False
114,The Beach House,2F Section: 23,0446612545,Warner Books,James Patterson,False
115,A Kiss Remembered,1F Section: 9,0446612618,Warner Books,Sandra Brown,False
116,The Short Forever,1F Section: 12,0451208080,Signet Book,Stuart Woods,False
117,Dead Aim,2F Section: 19,0553584383,Bantam Books,IRIS JOHANSEN,False
118,Angels &amp; Demons,3F Section: 11,0671027360,Pocket Star,Dan Brown,False
119,The Deal,2F Section: 9,0812575954,Tor Books (Mm),Joe Hutsko,False
120,All He Ever Wanted: A Novel,3F Section: 11,0316735736,Back Bay Books,Anita Shreve,False
121,Every Breath You Take : A True Story of Obsession Revenge and Murder,3F Section: 16,0743439740,Pocket,Ann Rule,False
122,If I Ever Get Back to Georgia I'm Gonna Nail My Feet to the Ground,1F Section: 17,0345372700,Ballantine Books,LEWIS GRIZZARD,False
123,The Mosquito Coast,3F Section: 6,0380619458,Harper Mass Market Paperbacks (Mm),Paul Theroux,False
124,If Love Were Oil I'd Be About a Quart Low,3F Section: 13,0446325805,Warner Books (Mm),Lewis Grizzard,False
125,Goodbye My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims,2F Section: 24,0451406923,Onyx Books,Charles Hickey,False
126,The Girl Who Loved Tom Gordon,3F Section: 22,0671042858,Pocket,Stephen King,False
127,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,3F Section: 9,0743249992,Free Press,Ben Mezrich,False
128,The Oneprince (The Redaemian Chronicles Book 1),3F Section: 2,0840734530,Thomas Nelson Inc,Bill Hand,False
129,The Sum of All Fears,2F Section: 12,0425184226,Berkley Publishing Group,Tom Clancy,False
130,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,1F Section: 19,0375500766,Random House,DANA REEVE,False
131,O Deus Das Pequenas Coisas,1F Section: 4,9724119378,Edicoes Asa,Roy,False
132,Lady in Green/Minor Indiscretions (Signet Regency Romance),2F Section: 11,0451205197,Signet Book,Barbara Metzger,False
133,One Hundred Years of Solitude,1F Section: 20,0060929790,Perennial,Gabriel Garcia Marquez,False
134,Little Altars Everywhere: A Novel,3F Section: 7,0060976845,Perennial,Rebecca Wells,False
135,Coyote Waits (Joe Leaphorn/Jim Chee Novels),1F Section: 15,0061099325,HarperTorch,Tony Hillerman,False
136,Before I Say Good-Bye,3F Section: 18,0671004573,Pocket,Mary Higgins Clark,False
137,Slow Waltz in Cedar Bend,3F Section: 13,0446601640,Warner Books,Robert James Waller,False
138,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),2F Section: 16,0330484516,Pan Macmillan,Rachel Harris,False
139,Atonement : A Novel,1F Section: 15,038572179X,Anchor,IAN MCEWAN,False
140,Next: The Future Just Happened,3F Section: 12,0393020371,W.W. Norton &amp; Company,Michael Lewis,False
141,The Angelic Darkness,1F Section: 26,1900850303,Arcadia Books,Richard Zimler,False
142,The Soulbane Stratagem,1F Section: 4,1903019699,John Hunt Publishing Ltd.,Norman Jetmundsen,False
143,Gangster,1F Section: 25,0345425294,Fawcett Books,Lorenzo Carcaterra,True
144,Hush,3F Section: 19,0451410319,Onyx Books,Anne Frasier,False
145,Whisper of Evil (Hooper Kay. Evil Trilogy.),1F Section: 28,0553583468,Bantam Books,Kay Hooper,False
146,Temor y Temblor,2F Section: 8,8420639133,Alianza,Soren Kierkegaard,False
147,Estudios sobre el amor,1F Section: 5,8476409419,Downtown Book Center,Jose Ortega Y Gaset,True
148,Rebecca,3F Section: 3,0380778556,Avon,Daphne Du Maurier,False
149,Scarlet Letter,2F Section: 16,0451525221,Signet Book,Nathaniel Hawthorne,False
150,Keep It Simple: And Get More Out of Life,1F Section: 13,0002740230,Trafalgar Square,Nick Page,False
151,Diary of a Mad Mom-To-Be,2F Section: 17,0385336772,Delta,Laura Wolf,False
152,Locked in Time (Laurel Leaf Books),1F Section: 10,0440949424,Laure Leaf,LOIS DUNCAN,False
153,Contact,2F Section: 1,0505524996,Love Spell,Susan Grant,False
154,The Brimstone Wedding,3F Section: 21,0140252800,Penguin Books Ltd,Barbara Vine,False
155,The Catswold Portal,2F Section: 9,0451452755,Roc,Shirley Rousseau Murphy,False
156,Through Wolf's Eyes (Wolf),3F Section: 13,0812575482,Tor Fantasy,Jane Lindskold,False
157,Puerto Vallarta Squeeze,2F Section: 8,044651747X,Warner Books,Robert James Waller,False
158,Tree Grows In Brooklyn,1F Section: 9,0060801263,Harpercollins Publisher,Betty Smith,False
159,Cybill Disobedience: How I Survived Beauty Pageants Elvis Sex Bruce Willis Lies Marriage Motherhood Hollywood and the Irrepressible Urge to Say What I Think,3F Section: 4,0061030147,Avon Books,Cybill Shepherd,False
160,Snow Angels,3F Section: 25,0140250964,Penguin Books,Stewart O'Nan,False
161,Wish You Well,3F Section: 24,0446527165,Warner Books,David Baldacci,False
162,The Hitchhiker's Guide to the Galaxy,2F Section: 2,0671461494,Pocket,Douglas Adams,False
163,Crow Lake (Today Show Book Club #7),1F Section: 28,0385337639,Delta,Mary Lawson,False
164,My Antonia,2F Section: 29,039575514X,Mariner Books,Willa Cather,False
165,Pen Pals,3F Section: 2,0451206673,Signet Book,Olivia Goldsmith,False
166,Bridget Jones's Diary,3F Section: 15,0330332775,Picador (UK),Helen Fielding,False
167,Pride and Prejudice (Dover Thrift Editions),3F Section: 4,0486284735,Dover Publications,Jane Austen,False
168,EYE ON CRIME: HARDY BOYS #153,1F Section: 24,0671021745,Aladdin,Franklin W. Dixon,False
169,Skin And Bones,2F Section: 24,0671047612,Aladdin,Franklin W. Dixon,False
170,LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys The),1F Section: 25,0671504282,Simon Pulse,Franklin W. Dixon,False
171,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),2F Section: 23,0399138684,Putnam Pub Group,Lilian Jackson Braun,False
172,If Singleness Is a Gift What's the Return Policy?,2F Section: 18,0785263292,Nelson Books,Holly Virden,False
173,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,2F Section: 8,0830714014,Regal Books,H. Norman Wright,False
174,Night Mare (Xanth Novels (Paperback)),3F Section: 28,0345354931,Del Rey Books,Piers Anthony,False
175,The Martian Chronicles,3F Section: 4,0553278223,Spectra,RAY BRADBURY,False
176,Kabale Und Liebe,3F Section: 21,3150000335,Philipp Reclam Jun Verlag GmbH,Schiller,False
177,Der illustrierte Mann. ErzÃ?Â¤hlungen.,2F Section: 5,3257203659,Diogenes,Ray Bradbury,False
178,Der KÃ?Â¶nig in Gelb.,1F Section: 6,3257207522,Diogenes Verlag,Raymond Chandler,False
179,Fahrenheit 451,2F Section: 23,3257208626,Distribooks Inc,Ray Bradbury,True
180,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,2F Section: 29,3257208634,Diogenes Verlag,Ray Bradbury,False
181,Das BÃ?Â¶se kommt auf leisen Sohlen.,1F Section: 18,3257208669,Diogenes,Ray Bradbury,False
182,LÃ?Â¶wenzahnwein. Roman.,1F Section: 0,3257210450,Diogenes Verlag,Ray Bradbury,False
183,Das Kind von morgen. ErzÃ?Â¤hlungen.,1F Section: 29,3257212054,Diogenes Verlag,Ray Bradbury,False
184,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,2F Section: 3,3257212429,Diogenes Verlag,Ray Bradbury,False
185,Familientreffen. ErzÃ?Â¤hlungen.,3F Section: 25,3257214154,Diogenes Verlag,Ray Bradbury,False
186,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,1F Section: 4,3257216416,Diogenes Verlag,Ray Bradbury,False
187,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,1F Section: 6,3257233051,Distribooks,Paolo Coelho,False
188,Die Liebe in Den Zelten,1F Section: 9,342311360X,Deutscher Taschenbuch Verlag (DTV),Gabriel Garcia Marquez,False
189,Die Klone der Joanna May. Roman.,2F Section: 16,3423116714,Dtv,Fay Weldon,False
190,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,2F Section: 12,3423241489,Dtv,Arabella Weir,False
191,Haifischfrauen.,1F Section: 6,3426605686,Droemersche Verlagsanstalt Th. Knaur Nachf. GmbH &amp; Co.,Kiana Davenport,False
192,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,2F Section: 14,3453212150,Heyne,Sue Townsend,False
193,Schwarzer Tee mit drei StÃ¼ck Zucker,2F Section: 25,3462021095,Kiepenheuer &amp; Witsch,Renan Demirkan,False
194,QuerschÃ?Â¼sse - Downsize This!,3F Section: 11,3492045642,Piper,Michael Moore,False
195,Die Korrekturen.,1F Section: 1,3498020862,Rowohlt Reinbek,Jonathan Franzen,False
196,Neun ErzÃ?Â¤hlungen.,3F Section: 5,3499110695,Rowohlt Tb.,Jerome D. Salinger,False
197,Hebt den Dachbalken hoch Zimmerleute / Seymour wird vorgestellt.,3F Section: 0,3499151502,Rowohlt Tb.,Jerome D. Salinger,False
198,Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge 100).,3F Section: 3,3518111000,Suhrkamp,James Joyce,False
199,Eine ganz normale AffÃ?Â¤re.,2F Section: 22,3548254268,Ullstein Tb,Joanna Trollope,False
200,Das Intimleben des Adrian Mole 13 3/4 Jahre. cbt. ( Ab 14 J.).,2F Section: 4,3570300099,Bertelsmann MÃ?Â¼nchen,Sue Townsend,False
201,Das Buch der lÃ?Â¤cherlichen Liebe.,2F Section: 23,3596292646,Fischer (Tb.) Frankfurt,Milan Kundera,False
202,The God of Small Things,2F Section: 18,0060977493,Perennial,Arundhati Roy,False
203,The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,2F Section: 0,0312872682,St Martins Pr,Robert S. Levinson,False
204,The Big Bad Wolf: A Novel,2F Section: 8,0316602906,Little Brown,James Patterson,False
205,Four Blind Mice,3F Section: 9,0316693006,Little Brown,James Patterson,False
206,Private Screening,3F Section: 11,0345311396,Ballantine Books,Richard North Patterson,False
207,Congo,1F Section: 0,0345378490,Ballantine Books,Michael Crichton,False
208,Protect and Defend,3F Section: 11,0345404793,Ballantine Books,Richard North Patterson,False
209,The Tall Pine Polka,2F Section: 19,0345433173,Ballantine Books,Lorna Landvik,False
210,Memoirs of a Geisha,1F Section: 25,0375400117,Alfred A. Knopf,Arthur Golden,False
211,Plainsong (Vintage Contemporaries),3F Section: 2,0375705856,Vintage,KENT HARUF,False
212,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),1F Section: 23,0380717018,Avon,Patricia D. Cornwell,False
213,All That Remains (Kay Scarpetta Mysteries (Paperback)),2F Section: 18,0380718332,Avon,Patricia D. Cornwell,False
214,The Case of the Lost Look-Alike (An Avon Camelot Book),1F Section: 21,0380754509,Avon Books,Carol J. Farley,False
215,Petals on the River,2F Section: 0,038076654X,Avon Trade,Kathleen E. Woodiwiss,False
216,The Elusive Flame,2F Section: 12,0380807866,Avon,Kathleen E. Woodiwiss,False
217,Legacy of Silence,2F Section: 11,0385316895,Bantam Dell Pub Group,Belva Plain,False
218,The Brethren,3F Section: 8,0385497466,Doubleday,JOHN GRISHAM,False
219,The King of Torts,1F Section: 15,0385508042,Doubleday Books,John Grisham,False
220,The Curious Incident of the Dog in the Night-Time : A Novel,2F Section: 24,0385509456,Doubleday,MARK HADDON,False
221,Bleachers,3F Section: 19,0385511612,Doubleday,John Grisham,False
222,Sisterhood of the Traveling Pants,1F Section: 1,0385730586,Delacorte Books for Young Readers,ANN BRASHARES,False
223,Only Love (Magical Love),2F Section: 11,0425164403,Berkley Publishing Group,Erich Segal,False
224,All or Nothing (Wheeler Large Print Books),3F Section: 12,0440234964,Island,Elizabeth Adler,False
225,Roses Are Red (Alex Cross Novels),2F Section: 14,0446605484,Warner Vision,James Patterson,False
226,The Rescue,1F Section: 14,0446610399,Warner Books,Nicholas Sparks,False
227,Manhattan Hunt Club,2F Section: 2,0449006522,Ballantine Books,JOHN SAUL,False
228,Patty Jane's House of Curl (Ballantine Reader's Circle),1F Section: 10,0449911004,Ballantine Books,LORNA LANDVIK,False
229,Pet Sematary,3F Section: 10,0451162072,Signet Book,Stephen King,False
230,Silent Snow,1F Section: 4,0451186648,Signet Book,Steve Thayer,False
231,Girl with a Pearl Earring,1F Section: 27,0452282152,Plume Books,Tracy Chevalier,False
232,Summer of Storms,3F Section: 23,051513290X,Jove Books,Judith Kelman,False
233,The Patient,1F Section: 27,0553580388,Bantam Books,Michael Palmer,False
234,Demona's Revenge (Gargoyles No. 2),2F Section: 27,0590598848,Scholastic,Francine Hughes,False
235,Clifford's Sports Day,1F Section: 27,0590629719,Scholastic,Norman Bridwell,False
236,Postmortem (Kay Scarpetta Mysteries (Paperback)),2F Section: 5,0671023616,Pocket,Patricia Cornwell,False
237,Deception Point,1F Section: 3,0671027387,Pocket,Dan Brown,False
238,Tis : A Memoir,3F Section: 3,0684848783,Scribner,Frank McCourt,False
239,Angels &amp; Demons,3F Section: 21,0743486226,Atria,Dan Brown,False
240,A Monk Swimming,3F Section: 20,0786863986,Hyperion,Malachy McCourt,True
241,Crazy Horse,3F Section: 5,0803251718,University of Nebraska Press,Mari Sandoz,False
242,The Silent Cry (William Monk Novels (Paperback)),2F Section: 7,0804117934,Ivy Books,Anne Perry,False
243,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),3F Section: 0,140003180X,Anchor,ALEXANDER MCCALL SMITH,False
244,Chicken Soup for the Soul (Chicken Soup for the Soul),3F Section: 1,155874262X,Health Communications,Jack Canfield,False
245,Wicked: The Life and Times of the Wicked Witch of the West,2F Section: 16,0060987103,Regan Books,Gregory Maguire,False
246,Life of Pi,3F Section: 25,0151008116,Harcourt,Yann Martel,False
247,A Judgement in Stone,1F Section: 15,0375704965,Vintage Books USA,Ruth Rendell,False
248,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,3F Section: 6,0525947647,Dutton Books,Al Franken,True
249,Secret History,3F Section: 14,0804111359,Ballantine Books,DONNA TARTT,False
250,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),1F Section: 5,1558744150,Health Communications,Jack Canfield,False
251,Great Expectations (Heinemann Guided Readers),3F Section: 28,0435272683,Delta Systems,John Milne,False
252,The Weight of Water,3F Section: 26,0316782505,Little Brown,Anita Shreve,False
253,Moving Pictures (Discworld Novels (Paperback)),2F Section: 19,006102063X,HarperTorch,Terry Pratchett,False
254,Night Watch,2F Section: 9,0060013117,HarperCollins,Terry Pratchett,False
255,Thief of Time,2F Section: 29,0060199563,HarperCollins Publishers,Terry Pratchett,False
256,Charlotte's Web Book and Charm (Charming Classics),3F Section: 25,006052779X,HarperFestival,E. B. White,False
257,Peter Pan: The Original Story (Peter Pan),1F Section: 14,0060563079,HarperFestival,J. M. Barrie,False
258,My Friend Flicka,1F Section: 19,0060809027,Perennial,Mary O'Hara,False
259,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),2F Section: 7,0061040967,HarperCollins,Terry Pratchett,False
260,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),3F Section: 8,0061050474,HarperPrism,Terry Pratchett,False
261,Maskerade: A Novel of Discworld (Pratchett Terry. Discworld Series (New York N.Y.).),3F Section: 5,0061052515,HarperPrism,Terry Pratchett,False
262,Interesting Times: A Novel of Discworld,2F Section: 11,0061052523,Harpercollins,Terry Pratchett,False
263,On the Bright Side I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson,3F Section: 11,0064472264,HarperTempest,Louise Rennison,False
264,Mansfield Park (Penguin Popular Classics),3F Section: 26,0140620664,Penguin Books Ltd,Jane Austen,False
265,The Wind in the Willows,3F Section: 10,0312148267,St. Martin's Press,Kenneth Grahame,False
266,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),3F Section: 13,0312156960,St. Martin's Griffin,Bernard Cornwell,False
267,Moonheart (Newford),2F Section: 25,0312890044,Orb Books,Charles de Lint,False
